# time(ps)   RMSD(Ang)   MSD(Ang^2)
2.340000000000000135e-01 3.668966318540052729e+00 1.346131384658134778e+01
2.350000000000000144e-01 3.661275826228238106e+00 1.340494067572326742e+01
2.360000000000000153e-01 3.610357518346535954e+00 1.303468141028135641e+01
2.370000000000000162e-01 3.581870160180838703e+00 1.282979384439390635e+01
2.380000000000000171e-01 3.587054883656706661e+00 1.286696273836543014e+01
2.390000000000000180e-01 3.581354513510984994e+00 1.282610015144550353e+01
2.399999999999999911e-01 3.381848331745245240e+00 1.143689813892809859e+01
2.409999999999999920e-01 3.354360643973848255e+00 1.125173532984064906e+01
2.419999999999999929e-01 3.295949821242109223e+00 1.086328522414589237e+01
2.429999999999999938e-01 3.259451551138892178e+00 1.062402441422173105e+01
2.439999999999999947e-01 3.259033963646472909e+00 1.062130237620124085e+01
2.449999999999999956e-01 3.176030618520827353e+00 1.008717048978178887e+01
2.459999999999999964e-01 3.308517474743736475e+00 1.094628788068466996e+01
2.469999999999999973e-01 3.166660172980415133e+00 1.002773665114035317e+01
2.479999999999999982e-01 3.125374976398696436e+00 9.767968743099153528e+00
2.489999999999999991e-01 3.076600941656477239e+00 9.465473354201522582e+00
2.500000000000000000e-01 2.998055256914815558e+00 8.988335323514561992e+00
2.510000000000000009e-01 3.075968779138547937e+00 9.461583930235089923e+00
2.520000000000000018e-01 2.927288975687570627e+00 8.569020747181985698e+00
2.530000000000000027e-01 2.946792116698982333e+00 8.683583779039269146e+00
2.540000000000000036e-01 2.933688185364349721e+00 8.606526368946370908e+00
2.550000000000000044e-01 2.881983315959743219e+00 8.305827833470317501e+00
2.560000000000000053e-01 2.823082101528517462e+00 7.969792551970670935e+00
2.570000000000000062e-01 2.841101694014681822e+00 8.071858835733094040e+00
2.580000000000000071e-01 2.823610149426383220e+00 7.972774275943681488e+00
2.590000000000000080e-01 2.755452427860284992e+00 7.592518082201139329e+00
2.600000000000000089e-01 2.678116506093033422e+00 7.172308020207956325e+00
2.610000000000000098e-01 2.624407639353800725e+00 6.887515457498589733e+00
2.620000000000000107e-01 2.598605849211727215e+00 6.752752359557402606e+00
2.630000000000000115e-01 2.562825911116139554e+00 6.568076650688269957e+00
2.640000000000000124e-01 2.541050089317665073e+00 6.456935556421313116e+00
2.650000000000000133e-01 2.413970839654306921e+00 5.827255214701319908e+00
2.660000000000000142e-01 2.403757194955845389e+00 5.778048652301994714e+00
2.670000000000000151e-01 2.381342686087617455e+00 5.670792988582988414e+00
2.680000000000000160e-01 2.421231831624008901e+00 5.862363582469352075e+00
2.690000000000000169e-01 2.411415245731443946e+00 5.814923487346040254e+00
2.700000000000000178e-01 2.412016236242986444e+00 5.817822323899782155e+00
2.710000000000000187e-01 2.425820817931829687e+00 5.884606640711450787e+00
2.720000000000000195e-01 2.417586574550078637e+00 5.844724845444782879e+00
2.730000000000000204e-01 2.506042213584040557e+00 6.280247576265197473e+00
2.740000000000000213e-01 2.528008437249231299e+00 6.390826658803301363e+00
